Date,Open,High,Low,Close,Adj Close,Volume
10/31/2016,0.759474,0.761905,0.758553,0.759821,0.759821,0
11/1/2016,0.760803,0.768994,0.759936,0.760746,0.760746,0
11/2/2016,0.764643,0.76799,0.761487,0.764526,0.764526,0
11/3/2016,0.765169,0.76858,0.763884,0.765345,0.765345,0
11/4/2016,0.768521,0.769823,0.765404,0.76858,0.76858,0
11/7/2016,0.767813,0.770891,0.766871,0.767872,0.767872,0
11/8/2016,0.772082,0.77232,0.769053,0.772022,0.772022,0
11/9/2016,0.774713,0.777122,0.758495,0.774593,0.774593,0
11/10/2016,0.765052,0.774174,0.757289,0.764935,0.764935,0
11/11/2016,0.760977,0.763009,0.754091,0.760861,0.760861,0
11/14/2016,0.755287,0.757461,0.752615,0.754945,0.754945,0
11/15/2016,0.75683,0.758898,0.751315,0.757117,0.757117,0
11/16/2016,0.755458,0.757289,0.746324,0.755344,0.755344,0
11/17/2016,0.749176,0.749681,0.745045,0.749457,0.749457,0
11/18/2016,0.740083,0.740686,0.734376,0.739809,0.739809,0
11/21/2016,0.732547,0.73828,0.731315,0.732332,0.732332,0
11/22/2016,0.737735,0.741455,0.737191,0.737681,0.737681,0
11/23/2016,0.741125,0.744546,0.737517,0.741015,0.741015,0
11/24/2016,0.737517,0.74162,0.736594,0.737463,0.737463,0
11/25/2016,0.741785,0.74677,0.740138,0.741675,0.741675,0
11/28/2016,0.744214,0.7494,0.743494,0.744546,0.744546,0
11/29/2016,0.749569,0.74985,0.743467,0.749457,0.749457,0
11/30/2016,0.748503,0.749738,0.73888,0.748447,0.748447,0
12/1/2016,0.739044,0.74206,0.737626,0.73888,0.73888,0
12/2/2016,0.74228,0.746826,0.740247,0.742115,0.742115,0
12/5/2016,0.743937,0.746993,0.741565,0.74438,0.74438,0
12/6/2016,0.747323,0.748279,0.743384,0.74744,0.74744,0
12/7/2016,0.747272,0.748223,0.741895,0.747217,0.747217,0
12/8/2016,0.748671,0.750638,0.743052,0.748615,0.748615,0
12/9/2016,0.745935,0.749681,0.744491,0.745951,0.745951,0
12/12/2016,0.744879,0.750525,0.743826,0.744823,0.744823,0
12/13/2016,0.749681,0.752389,0.747664,0.749738,0.749738,0
12/14/2016,0.749457,0.752276,0.748335,0.749457,0.749457,0
12/15/2016,0.740631,0.743052,0.734916,0.74107,0.74107,0
12/16/2016,0.736757,0.736974,0.726945,0.736811,0.736811,0
12/19/2016,0.729182,0.731475,0.725058,0.729129,0.729129,0
12/20/2016,0.725216,0.726375,0.722387,0.725111,0.725111,0
12/21/2016,0.72685,0.728226,0.724165,0.726956,0.726956,0
12/22/2016,0.723589,0.725795,0.719942,0.723537,0.723537,0
12/23/2016,0.722178,0.722909,0.716076,0.722178,0.722178,0
12/26/2016,0.717721,0.724638,0.716794,0.717927,0.717927,0
12/27/2016,0.718133,0.719994,0.717412,0.718081,0.718081,0
12/28/2016,0.719114,0.722022,0.716486,0.719114,0.719114,0
12/29/2016,0.718494,0.722022,0.718391,0.718494,0.718494,0
12/30/2016,0.723641,0.724795,0.721709,0.723484,0.723484,0
1/2/2017,0.720981,0.722178,0.717,0.720981,0.720981,0
1/3/2017,0.71958,0.723798,0.71958,0.719683,0.719683,0
1/4/2017,0.723066,0.727961,0.722116,0.722993,0.722993,0
