Date,Max Temp,Avg Temp,Min Temp
13-Aug,84.2,71.6,46.4
14-Jan,35.6,28.4,19.4
14-Aug,86,71.6,48.2
15-Jan,39.2,32,21.2
15-Aug,87.8,75.2,51.8
16-Jan,35.6,28.4,17.6
16-Aug,86,75.2,51.8
17-Jan,28.4,17.6,3.2
17-Aug,91.4,78.8,53.6
18-Jan,39.2,33.8,24.8
18-Aug,86,75.2,51.8
19-Jan,39.2,33.8,24.8
19-Aug,86,75.2,50
20-Jan,33.8,30.2,19.4
20-Aug,82.4,73.4,50
21-Jan,35.6,32,21.2
21-Aug,91.4,82.4,55.4
21-Oct,57.2,48.2,33.8
